name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Jarman Impey",HAW,DEF,"Baz’s 8-balls",30,230,13,195.6,94.12,79.6,93.1,838,101.8,99.3,88,9,82.8,15.7,7.9,8,0,1.9,0.1,0.7,0.1,0
"Brad Hill",STK,D/M/F,"Banks' Palm Cards",32,286,15,227.2,93.43,72,93,837,94.8,96,91,9,84.8,15.8,7.6,7.2,0,1.9,0.4,0.7,0.4,0.2
"Noah Anderson",GCS,MID,"Houston we have a problem",25,137,7,16.9,99.04,102.5,92.4,739,87.8,102.3,115,8,83.8,15.9,10.4,5,0,2.4,0.8,1.5,0.4,1
"Jai Newcombe",HAW,MID,"Banks' Palm Cards",24,111,6,59.5,97.95,89.1,92.2,830,96,94.3,72,9,80.1,12.9,13.6,3.2,0,4.1,2.6,1.8,0.4,0.4
"Justin McInerney",SYD,MID/FWD,"Heartbreak Jake & da Subs",25,118,8,103.7,96.99,79.6,92.1,829,88.4,84,78,9,83.2,10.9,14.7,4.3,0,2.9,1.3,1.3,1.2,0.9
"Nic Newman",CAR,DEF,iWalshMyslfwthATonInMyMid,33,140,12,151.4,95.62,84.2,91.8,551,91.8,96,78,6,81.8,17.5,4.8,7,0,2,0.7,0.3,0.2,0
"Andrew Brayshaw",FRE,MID,"The Forrie Crystals",26,179,9,20.1,98.91,103.6,91.6,824,88.6,97.7,85,9,77.8,11.3,11.4,2.6,0,6.8,1.2,1.4,0.4,0.3
"Caleb Daniel",NTH,DEF,iWalshMyslfwthATonInMyMid,29,224,12,148.8,95.62,84.2,91.6,824,84.4,93,104,9,86,15.1,9.6,5.3,0,3.2,0.6,0.8,0,0
"Sam Berry",ADE,MID,"Kids can call you Bont-ju",24,85,6,281.8,87.69,62.4,91.3,822,93,97.3,69,9,73.3,11.3,10.9,2.3,0.1,7.4,1.1,1.2,0.1,0.6
"Jeremy Cameron",GEE,FWD,GuldenEye,33,289,15,111.0,97.67,83,91.2,821,93,88,86,9,90,12.7,3.3,7.3,0.1,1.6,0.7,0.9,3,2.2
"Jason Horne-Francis",PTA,MID/FWD,"Banks' Palm Cards",22,89,5,39.4,98.63,89.4,91.1,820,94.8,83.7,65,9,79,14.6,7.7,5,0,3.2,1.7,1.9,1.2,0.9
"Touk Miller",GCS,MID,"JD Vyvance",30,223,12,92.6,97.40,88.7,90.6,815,87.4,85.7,92,9,80.4,11.2,14.7,3.2,0,3.9,0.4,0.6,0.6,0.2
"Bailey Williams",WBD,DEF/MID,"Naughty Dog Entertainment",28,183,11,183.8,94.39,76.4,89.8,808,83.6,78.3,81,9,86.7,12.6,8.8,6.9,0,2.6,1.1,0.6,0.6,0.9
"Tim English",WBD,RUC,"Scissorlift Victims Unit",28,160,10,10.8,99.04,110.5,89.8,539,86.2,75.3,97,6,73,8.8,7,4.3,24.8,2.5,2.3,1,0.3,0.2
"James Sicily",HAW,DEF,"Lachie’s Flesh Clarrynet",31,187,13,151.2,95.62,79.1,89.6,717,83.8,79.3,90,8,90.9,14.3,7.9,8.1,0,1.9,1.5,0.8,0,0
"Tanner Bruhn",GEE,DEF/MID,"Lachie’s Flesh Clarrynet",23,76,6,154.6,95.08,68.1,89.2,892,87.6,85,91,10,71.5,13.1,9.9,5.2,0,3.6,1,0.5,0,0.6
"Scott Pendlebury",COL,MID,"Lachie’s Flesh Clarrynet",38,432,21,223.0,88.92,77.2,88.9,622,91.6,113.7,100,7,69.3,10.3,13.7,5.6,0,2.7,0.9,0.1,0.4,0
"Gryan Miers",GEE,MID/FWD,"Baz’s 8-balls",27,161,9,45.0,98.77,93.2,88.8,533,82.4,66.3,54,6,78.8,13.5,9,5.7,0,3,1.3,0.2,0,0.5
"Karl Amon",HAW,DEF,"Heartbreak Jake & da Subs",30,203,13,104.4,96.85,87,88.3,706,98.8,115.3,114,8,81.9,16.5,6.9,5.5,0,2.1,0.1,0.1,0,0.3
"Jack Ross",RIC,MID/FWD,"Naughty Dog Entertainment",25,102,8,160.5,94.66,72.5,88.1,793,94.6,88,96,9,81.3,7.8,15.8,3.9,0,5.2,1.6,0.9,0.2,0.4
"Connor Macdonald",HAW,FWD,"Lachie’s Flesh Clarrynet",23,99,5,94.9,95.90,73.5,87.9,791,86.6,90.3,47,9,78.9,13.3,7.8,4.8,0,3.3,0.6,0.4,0.8,0.8
"Kane Farrell",PTA,DEF,"The Forrie Crystals",27,123,9,152.4,93.57,79.4,87.4,787,87.8,94,122,9,80.1,16.8,3.7,7.1,0,2.4,0.7,1,0.1,0.3
"Zac Bailey",BRL,MID/FWD,"Naughty Dog Entertainment",26,175,9,63.3,97.54,81.2,87.2,785,84.2,85,77,9,85.4,12.7,7,5.4,0,2.8,0.8,1.3,1.7,1
"Jack Ginnivan",HAW,FWD,"Naughty Dog Entertainment",23,99,6,127.5,96.31,75.8,87,783,88,82.7,60,9,81.4,13.6,6.4,6.4,0,2,0.8,0.4,1,0.7
"Josh Worrell",ADE,DEF,"Prince McAndrew",25,64,7,134.1,95.08,76.1,86.9,782,81.4,77.3,88,9,87.4,15.2,8.6,6.4,0,1.7,0.8,0.9,0,0
"Bailey Dale",WBD,DEF,"Naughty Dog Entertainment",29,187,12,56.7,97.81,92.2,86.8,781,101.4,108,86,9,82.4,18.3,6.2,4.1,0,1.9,0.6,0.4,0,0.2
"Josh Dunkley",BRL,MID,GuldenEye,29,204,11,24.3,98.63,106.4,86.4,864,90.8,89.3,77,10,79.2,9.3,11,4.5,0,6.2,0.6,0.9,0,0.3
"Rory Laird",ADE,DEF,"Heartbreak Jake & da Subs",32,276,15,90.8,97.54,91.1,86.4,605,85,87.7,110,7,78.9,13.4,10.1,6.9,0,1.4,0.4,0.3,0,0
"Tom Sparrow",MEL,MID/FWD,"Prince McAndrew",25,126,8,280.8,89.60,63.6,86.4,778,91,104.7,94,9,71.9,11.1,8.4,2.1,0,6.6,1,0.4,0.6,0.7
"Josh Battle",HAW,DEF,"The Forrie Crystals",27,158,10,209.4,91.38,71.8,86.2,776,95,95,106,9,95,14.4,6.9,8.2,0,1.3,0.9,0.7,0,0.2
"Callum Mills",SYD,DEF,"Naughty Dog Entertainment",29,183,11,82.5,96.58,82,86.1,775,91.2,95.3,91,9,75.9,11.7,11.7,6.2,0,2.4,0.6,0.4,0,0.1
"Darcy Wilmot",BRL,DEF,"Kids can call you Bont-ju",22,93,5,78.6,95.90,82.4,86.1,861,94.8,100.3,110,10,85.2,16.4,5.6,6.5,0,1.6,0.6,0.5,0.1,0.1
"Marcus Windhager",STK,DEF/MID,"Heartbreak Jake & da Subs",22,84,5,89.2,96.31,84.3,86.1,775,83,81,72,9,82.8,14.8,8.3,5.2,0,2.1,1.3,0.6,0.2,0
"Toby Greene",GWS,MID/FWD,"Prince McAndrew",32,270,15,122.6,96.99,82.6,85.9,773,93,94.7,99,9,80.6,14.6,8.3,3.3,0,3,1.2,1.7,1,1.3
"Tom McCarthy",WCE,DEF,"Houston we have a problem",25,19,2,61.8,96.72,85.9,85.9,773,90.6,86.3,98,9,79.8,16.8,5.3,5.9,0,2,0.4,0.4,0,0.1
"Brayden Maynard",COL,DEF,"Scissorlift Victims Unit",29,238,12,281.0,85.36,67,85.6,770,86.4,82,88,9,83.4,15,5.6,6.6,0,3,0.7,1.2,0.1,0.1
"Connor Budarick",WBD,DEF/FWD,"Kids can call you Bont-ju",25,61,7,203.5,90.83,54.1,85,510,83.2,87,114,6,79.5,14.5,7.2,5.5,0,2.3,1.2,0.3,0.2,0.2
"Shai Bolton",FRE,MID/FWD,"Banks' Palm Cards",27,167,10,118.2,96.72,73.5,85,765,83,96.7,59,9,82,11.9,12.6,2.2,0,3.4,0.4,1.3,1.1,0.7
"Lachlan McAndrew",ADE,RUC,"Prince McAndrew",25,11,6,186.3,91.11,75.6,84.4,760,80,83.7,86,9,71.7,5.9,5.3,1.9,32.9,4.7,1.8,1.2,0.1,0.1
"Luke Ryan",FRE,DEF,GuldenEye,30,187,10,116.3,95.62,84.4,84.4,675,94.8,87.7,73,8,85.8,17.3,3.1,7.3,0,1.9,0.8,1.3,0,0.1
"Jordan Clark",FRE,DEF,"JD Vyvance",25,135,8,38.4,98.50,93.4,84.3,759,86.8,74.7,66,9,82.9,15.8,7.4,5.1,0,1.9,0.6,0.7,0.1,0
"Izak Rankine",ADE,MID/FWD,"Jags to riches",26,113,8,42.3,98.22,87.5,84.1,673,104.6,114,162,8,80.8,12.9,6.4,3.5,0,4.3,1.1,1.3,1.1,1.1
"Patrick Cripps",CAR,MID,"Scissorlift Victims Unit",31,239,13,88.1,97.26,90.1,84,756,87,83,100,9,81.1,9.2,15.7,2.1,0.1,5.1,2,2.4,0.4,0.8
"George Hewett",CAR,MID,iWalshMyslfwthATonInMyMid,30,207,13,73.4,97.81,96.1,83.6,418,83.6,83.7,81,5,73.8,9.6,10.8,4.4,0,5,1.4,1,0.2,0.4
"Josh Rachele",ADE,MID/FWD,"Jags to riches",23,79,5,102.8,96.58,68.2,83.6,752,76.4,63.7,66,9,80.8,13.1,6.9,3.7,0,3.1,1,1.3,1.6,0.7
"Tim Taranto",RIC,MID,iWalshMyslfwthATonInMyMid,28,180,10,65.7,97.81,94.3,83.4,584,77.8,69,87,7,76.7,8.3,14.9,2.1,0,5,1.1,0.6,0.4,0.4
"Wil Powell",GCS,DEF/MID,"Jags to riches",26,139,9,212.9,91.24,66.9,83,747,80.4,79.3,61,9,81,10.6,6.7,5.2,0,5.3,0.4,0.7,0.3,0.6
"James Peatling",ADE,MID,"Lachie’s Flesh Clarrynet",25,77,6,166.9,91.11,77.2,82.8,745,90,88.3,93,9,72.8,12.7,7.8,2.8,0,4.9,1.6,0.7,0.2,0.4
"Milan Murdock",WCE,MID/FWD,"Baz’s 8-balls",25,6,1,,78.25,67.8,82.8,497,80.4,76,92,6,73.5,9.8,9.8,3.3,0,5.2,0.8,0.8,0.7,0.7
"Ryley Sanders",WBD,MID/FWD,"The Forrie Crystals",21,43,3,99.7,95.62,72.4,82.6,661,87.2,88,81,8,80.5,7.8,18.3,2.6,0,4,1.3,1,0.1,0
"Matt Rowell",GCS,MID,"Lachie’s Flesh Clarrynet",24,114,7,34.8,98.50,100.2,82.5,330,82.5,95.7,85,4,83,11.3,13.3,1.8,0,6,2,3,0,0
"Toby Nankervis",RIC,RUC,iWalshMyslfwthATonInMyMid,31,181,13,117.6,92.20,89.1,82.5,165,82.5,82.5,86,2,63.5,9,8,2,20,4,2,1.5,0,0
"Hugo Garcia",STK,MID,"Heartbreak Jake & da Subs",20,34,3,196.0,91.24,73.6,82.4,742,90.8,85,87,9,73.7,10,11.6,2.4,0,5.1,1,0.6,0.3,0.2
"Levi Ashcroft",BRL,MID,"Scissorlift Victims Unit",19,37,2,68.6,96.31,80,82.1,821,86,87.7,104,10,78.2,12.7,8.4,5.8,0,1.6,0.9,0.2,0.4,0.7
"Adam Cerra",CAR,MID,"JD Vyvance",26,154,9,78.7,95.76,91.7,81.5,489,82,82,81,6,73.2,9.8,12.3,3.7,0,4.3,1.3,1.2,0.2,0.2
"Ollie Wines",PTA,MID,"Scissorlift Victims Unit",31,279,14,149.0,93.57,87.5,81.5,489,90.8,94.3,62,6,64.8,7.7,13.7,4.5,0,4.8,0.8,1.5,0.3,0
"Aliir Aliir",PTA,DEF,"Lachie’s Flesh Clarrynet",31,187,13,,65.80,56.8,81.4,733,83.8,91.7,102,9,99.7,13.2,4.4,10.3,0,1.4,0.4,1.4,0,0
"Lawson Humphries",GEE,DEF,"Kids can call you Bont-ju",23,46,3,115.9,94.39,74,81.3,813,86.2,82.3,75,10,82,13.6,5.5,6,0,2.5,0.8,0.2,0.2,0.1
"Tom Stewart",GEE,DEF,"Scissorlift Victims Unit",33,201,10,144.4,95.90,80.3,81.2,812,76.4,75,95,10,82.3,16.5,5.1,5.4,0,1.5,1,0.8,0.1,0.1
"Darcy Parish",ESS,MID,iWalshMyslfwthATonInMyMid,28,173,11,106.2,94.25,76.7,81.1,649,86.6,90.3,93,8,74.8,11.6,12.5,3.6,0,2.8,0.8,0.8,0.1,0.1
"Elliot Yeo",WCE,MID,GuldenEye,32,219,15,195.5,91.11,78.6,81.1,568,82.8,95.7,93,7,64.7,10.3,7.6,1.7,0,6.1,1.3,1,1.1,0.3
"Jase Burgoyne",PTA,DEF/MID,"Houston we have a problem",22,65,5,120.6,94.80,78.5,81.1,730,79.6,86.7,94,9,82.6,11.7,7.9,5.2,0,3.2,1.1,0.6,0.3,0.3
"Chad Warner",SYD,MID/FWD,"Banks' Palm Cards",24,117,7,49.6,98.63,92.5,81,729,89.4,89,63,9,78,12.8,8.7,2.4,0,3,1.2,1.2,1.2,1.1
"Darcy Cameron",COL,RUC,"Prince McAndrew",30,129,10,46.3,98.36,99.8,80.7,726,83.6,67.3,78,9,76,9.1,6.4,3.6,18.2,2.8,2.9,1.1,0.1,0.2
"Connor Rozee",PTA,DEF/MID,"Lachie’s Flesh Clarrynet",26,152,8,13.8,98.50,102.7,80.5,161,80.5,80.5,72,2,67.5,12.5,10,4.5,0,3,0.5,1,0,0
"Willem Duursma",WCE,MID,"Naughty Dog Entertainment",18,9,1,114.1,94.53,68.4,80.4,724,84.2,83.3,72,9,78.3,11.3,7.3,5.2,0,2.7,0.7,0.2,0.8,0.8
"Jordon Sweet",PTA,RUC,"Naughty Dog Entertainment",28,55,8,155.2,93.84,78.3,80.3,642,78.8,93,78,8,78.4,6,6.5,2.9,29.5,2.6,1.8,1.6,0.5,0.8
"Murphy Reid",FRE,FWD,"Kids can call you Bont-ju",19,33,2,107.3,96.31,66.2,80.3,723,80,74.3,65,9,82.2,11.7,11.1,3.3,0,2.4,0.7,0.6,0.6,1
"Nick Madden",GWS,RUC,"The Forrie Crystals",21,6,4,231.2,69.08,67,80.3,241,80.3,80.3,63,3,66.7,3.3,9.3,2,28.7,4.3,2,1,0,0.7
"Adam Treloar",WBD,MID/FWD,iWalshMyslfwthATonInMyMid,33,259,15,110.9,95.08,84.9,80,80,80,80,80,1,61,9,16,4,0,2,1,0,0,0
"Rhys Stanley",GEE,RUC,iWalshMyslfwthATonInMyMid,35,230,18,,24.90,62.7,80,80,80,80,80,1,66,8,9,3,17,3,0,0,0,0
"Hayden Young",FRE,MID,iWalshMyslfwthATonInMyMid,25,94,7,62.4,96.44,86.5,79.8,399,79.8,79.7,76,5,73.8,10,9,3.6,0.2,3.8,0.6,0.4,1,0.2
"Josh Treacy",FRE,FWD,"JD Vyvance",23,89,6,165.2,94.66,68.8,79.8,718,68.8,80,87,9,88.6,9,4.6,6.9,0,2.6,1.4,1.4,2.3,1.7
"Colby McKercher",NTH,DEF/FWD,"JD Vyvance",21,48,3,36.8,97.26,88.4,79.6,716,82.2,81.7,86,9,81.1,14.3,8.2,3.1,0,2.3,0.3,0.6,0.4,0.1
"Jye Caldwell",ESS,MID,"Scissorlift Victims Unit",25,97,8,37.0,97.81,99.6,79.3,634,70.2,74.3,41,8,71,9.6,9.9,2.6,0,5.1,0.9,1,0.6,0.6
"Dylan Stephens",NTH,MID,"Naughty Dog Entertainment",25,90,7,,77.70,61.4,79.2,713,65.4,62.3,66,9,84.7,13,7.9,5.4,0,2,0.9,0.8,0.2,0.2
"Oliver Florent",CAR,DEF/MID,"Banks' Palm Cards",27,193,10,215.4,89.19,71,79.2,713,79.6,72,41,9,83.7,14.4,7.4,5,0,1.8,0.2,0.7,0.1,0
"Willem Drew",PTA,MID,"The Forrie Crystals",27,139,10,185.2,87.69,78.3,79.2,713,79.6,80,63,9,77.7,9.1,9.4,2.9,0,6.2,1.7,1.2,0.2,0.1
"Jordan Ridley",ESS,DEF,"Heartbreak Jake & da Subs",27,106,10,199.3,85.50,76.8,79,158,79,79,52,2,59,13,5.5,9,0,0.5,0,0,0,0
"Rhyan Mansell",RIC,FWD,"Free Agent",25,74,6,,12.86,58.9,79,79,79,79,79,1,82,9,3,7,0,4,0,1,2,0
"Riley Bice",SYD,DEF,"JD Vyvance",25,25,2,237.9,87.00,65.5,79,711,69.6,69.3,68,9,80.9,12.6,8.7,6,0,1.8,0.6,0.8,0.1,0
"Ed Langdon",MEL,D/M/F,"Naughty Dog Entertainment",30,211,12,179.8,90.70,74.2,78.8,709,86,91.7,114,9,88.6,11.1,8.4,6.3,0,2,0.6,0.7,0.4,0.3
"Nick Blakey",SYD,DEF,"Scissorlift Victims Unit",26,160,8,58.7,96.85,87.4,78.7,708,82.6,74,76,9,83.6,15.2,9.7,2.8,0,1.7,1.3,1.7,0.3,0.3
"Josh Ward",HAW,MID,"Jags to riches",22,76,5,125.2,92.20,77,78.4,706,66.2,78,82,9,76,10.7,10.4,3.9,0,3.7,0.8,0.6,0,0.1
"Tim Kelly",WCE,MID/FWD,"Heartbreak Jake & da Subs",31,172,9,203.1,90.97,72.9,78.3,626,77,81.3,85,8,74.3,10.9,12.5,3.4,0,2.9,0.6,0.9,0.1,0.3
"Jarrod Berry",BRL,MID,"Kids can call you Bont-ju",28,190,10,148.1,90.29,82.1,78.2,469,75,64.7,32,6,68.5,11.8,7.2,5.2,0,3,1.5,0.7,0.2,0.3
"Jarrod Witts",GCS,RUC,GuldenEye,33,212,15,124.4,94.25,87.5,78.1,547,70.6,74,60,7,78,6.4,6,1.4,35.7,2.6,1.6,2,0.1,0.1
"Joel Jeffrey",GCS,DEF,"Heartbreak Jake & da Subs",24,61,6,183.5,87.96,76,78.1,625,67.6,78,77,8,70.9,13.3,7.1,5.8,0,1.4,0.6,0.5,0.4,0
"Lachie Schultz",COL,FWD,"Scissorlift Victims Unit",28,135,8,174.4,93.16,76.3,78.1,703,76.6,72,60,9,79.6,8.9,6.8,5,0,4.3,1.6,0.9,1,0.7
"Elijah Tsatas",ESS,MID,"Prince McAndrew",21,19,4,276.4,78.25,64.3,78,234,78,78,60,3,70.3,9.7,14.3,4.7,0,1.3,0,0.3,0.3,0
"Jy Simpkin",NTH,MID/FWD,"Lachie’s Flesh Clarrynet",28,182,10,92.8,96.44,81.4,77.9,701,81.6,77.7,84,9,84,13,8.1,4.1,0,2.1,0.9,1.1,0.7,0.3
"Joel Freijah",WBD,MID/FWD,"Kids can call you Bont-ju",20,45,3,72.2,95.76,76.1,77.8,700,73.6,82.3,101,9,88.1,10,10.3,3.9,0,3.9,0.8,1.6,0.6,0.4
"Ryan Lester",BRL,DEF,"Prince McAndrew",33,243,16,,57.46,56.8,77.6,776,83.2,90,63,10,90.7,11.7,5.5,8.3,0,1.8,0.6,0.4,0,0
"Tom Atkins",GEE,MID,"JD Vyvance",30,163,8,147.3,91.38,84.4,77.6,776,68.8,67.3,90,10,73.2,7.9,11.5,1.8,0,6.7,1.4,0.9,0,0
"Trent Rivers",MEL,DEF,"Prince McAndrew",24,125,7,74.4,92.75,85,77.5,155,77.5,77.5,92,2,70,10.5,8,6.5,0,2.5,0,0,0,0.5
"Jack Gunston",HAW,FWD,iWalshMyslfwthATonInMyMid,34,291,17,255.9,76.74,67,77.3,618,77.6,83.7,100,8,85.1,9.1,2.3,6.1,0,0.9,0.5,0.6,3.8,2.4
"Jagga Smith",CAR,MID,"Jags to riches",20,9,2,66.6,96.03,69.2,76.8,691,73.6,82.3,81,9,75.3,10.2,12.6,3,0,2.7,1.1,0.7,0.3,0.2
"Angus Sheldrick",SYD,MID,"The Forrie Crystals",22,37,5,183.3,88.10,72.1,76.3,610,75.8,69,64,8,60.4,10.4,11.3,2.6,0,3.4,1,0.8,0.4,0.3
"Jeremy Howe",COL,DEF,"Baz’s 8-balls",35,277,16,,46.92,52.3,76.3,458,81.6,92.7,107,6,89.3,13.7,2.7,8.3,0,1.5,1,0.7,0,0
"George Wardlaw",NTH,MID,iWalshMyslfwthATonInMyMid,21,45,4,131.2,91.93,76.7,76,456,80.4,81.3,78,6,59.5,8.7,9.8,2.8,0,5.7,1.7,1.2,0.2,0
"Massimo D'Ambrosio",HAW,MID,"Jags to riches",22,75,5,179.2,87.41,75.9,76,684,84.2,84,49,9,81.8,12,6.7,5,0,2.7,0.3,0.6,0.3,0.3
